Title,Abstract,Journal,Publishing Date,DOI,Probability of Inclusion
Revolutionising healthcare logistics: the significance of direct-to-patient care,"At its core, direct-to-patient (DTP) care entails delivering healthcare services directly to patients in their homes or workplaces rather than in a hospital or clinic. This can encompass a range of services, from telemedicine consultations to home-delivered medication, or even advanced medical procedures conducted at home.",Pharmaceutical Manufacturing and Packing Sourcer,2024-01-01,,0.7801209687960272
An Automated Enhancement System of Diabetic Retinopathy Fundus Image for Eye Care Facilities,"Examining retinal fundus images is compulsory for ophthalmologists to spot features of eye diseases. Some problems, including low contrast and blurred retinal fundus image, may seriously affect the diagnostic procedure, leading to misdiagnosis. Low quality of retinal fundus image makes recognition of features for Diabetic Retinopathy (DR) to be harder for the ophthalmologist. Moreover, there is a lack of eye care facilities infrastructure with ophthalmologists to serve multi-morbid DR patients in rural areas, specifically Malaysia. Hence, this research proposed the development of an automated enhancement system based on computer vision and the Artificial Intelligence (AI) field to improve the quality of fundus images captured. The DR Enhancement System (DRES) helps ophthalmologists in the screening aspect by improving the detection of aberrant fundus images. Several methods for improving the fundus image are utilized: Retinex, Contrast Limited Adaptive Histogram Equalization (CLAHE), and Low-light enhancement. Results show that all methods performed better when improving low-contrast and blurred images. This study contributes to the screening process of DR by improving the quality of the retinal fundus image. The developed AI-based system can also help to solve healthcare logistics problems of reaching DR patients in rural areas.",Communications in Computer and Information Science,2024-01-01,10.1007/978-981-99-9592-9_8,0.7779611885731365
Study and Analysis of Discrete Event-Driven Autonomous System with a Case Study for a Robotics Task,"Highly probabilistic, potential, and dynamic domains are only relatively known to contribute classical techniques for complex system establishment impossible. Currently available technologies and strategies do not adequately address these novel needs. Thus, by enabling autonomous systems to adapt, decision-making and learning abilities, we can empower them with sufficient and appropriate expertise to recognize and address such issues. To address these requirements, discrete event-driven systems (DEDS) have been developed. This system can help the technologists of future autonomous systems by simulating the effect of auxiliary designs on the performance of the autonomous system. For modeling regular feedback of performance that is influenced by traditional techniques and depends on trust, the discrete event-driven method is most suited. This paper describes the DEDS system, the modeling of this system, and as well as the supervisory control system by explaining the supervisor, and partial supervisor. A comprehensive literature survey has been carried out in this article to explain the controllability, diagnosability, and observability potential of the DEDS system for various applications. Some of the major areas of applications such as healthcare, logistics, robotics, and banking sectors, have been discussed. Also, we have explained this system with the help of modeling a discrete event system for a queuing problem associated with robotics tasks as an example by the simulation with MATLAB 2022a. Lastly, the possible future research directions in the DEDS advancement have been provided.",Przeglad Elektrotechniczny,2023-01-01,10.15199/48.2023.09.09,0.7608915056715579
Paving the way for warehouse centralization in healthcare: A preliminary assessment approach,"Centralized logistics management is currently one interesting option for healthcare systems facing an increasing need to improve responsiveness and service quality while reducing costs. This work focuses on one aspect of centralized logistics, namely warehouse centralization and proposes a preliminary approach to assess material management in healthcare institutions as a first step towards decisions about the implementation of such a strategy. A list of variables and relationships between them characterizing warehouse material management are identified based on a literature review and knowledge of real logistics processes. Statistical analysis is then applied to assess the existence of such relationships in a set of healthcare organizations in order to understand the management commonalities that can stimulate warehouse centralization as well as the criticalities that could potentially hinder it. The approach is tested in a healthcare logistics system in Northern Italy. The results proved the ability of the methodology to identify the relevant issues the involved institutions need to work on when undertaking warehouse centralization strategies. The case warehouses revealed a good degree of commonalities in their management practices although three critical aspects were identified, namely a limited efficiency in human resource allocation, a high fragmentation of stock product demand and a relevant number of stock products with low annual demand. This work provides a methodology to increase material managers’ awareness about the factors enabling successful centralized inventory strategies in the healthcare sector.",American Journal of Applied Sciences,2016-05-05,10.3844/ajassp.2016.490.500,0.7587550200968246
Improved renal cancer prognosis among users of drugs targeting renin-angiotensin system,"Purpose: We explored renal cell cancer (RCC) survival among users of antihypertensive medication as hypertension is proposed to be a risk factor for RCC and ACE-inhibitors and angiotensin receptor blockers (ARBs) have been associated with improved prognosis of RCC. Methods: Finnish cohort of 13,873 participants with RCC diagnosed between 1995–2012 was formed from three national databases. RCC cases were identified from Finnish Cancer Registry, medication usage from national prescription database and co-morbidities from Care Registry of Healthcare. Logistic regression was used to calculate odds ratios for metastatic tumor extent at the time of diagnosis. Risk of RCC specific death after diagnosis was analyzed using Cox regression adjusted for tumor clinical characteristics. Results: A total of 5,179 participants died of RCC during the follow-up. No risk association was found for metastatic tumor extent for any drug group. ACE-inhibitors, but no other drug group were associated with decreased risk of RCC specific death overall (HR 0.88, 95% CI 0.82–0.95) compared to non-users. In time-dependent analysis high-dose use of ACE-inhibitors (392 Defined Daily Dose (DDD)/year), HR 0.54, 95% CI 0.45–0.66) and ARBs (786.1 DDD/year, HR 0.66, 95% CI 0.50–0.87) associated with improved RCC survival. No information of TNM-classification or tobacco smoking was available. Conclusion: ACE-inhibitors and ARBs in high dose associated with improved RCC specific survival. This may reflect overall benefit of treating hypertension with medication targeting renin-angiotensin system (RAS) system among RCC patients. Further studies are needed to explore the role of RAS in RCC.",Cancer Causes and Control,2022-02-01,10.1007/s10552-021-01527-w,0.7503858948163257
Measuring the logistics performance of internal hospital supply chains – A literature study,"The patient care processes in hospitals are supported by a range of operational activities including inventory management and distribution of supplies to point-of-care locations. Hospitals carry large amounts and a great variety of items, and the issues of storing and distributing these items throughout the hospital supply chain are of great importance to providing high-quality patient service. Healthcare logistics encompasses the process of handling physical goods (e.g. pharmaceuticals, surgical medical products, medical equipment, sterile items, linen, food, etc.) and the associated information flows, from the reception of the goods within a hospital to their delivery at patient care locations. The medical supply costs constitute the second largest expenditure in hospitals, after personnel costs. A high-performing supply chain may realize improved outcomes (e.g. safe and quality patient service) and greater efficiency. Logistics managers need to identify opportunities to improve the logistics processes in order to lower costs and to improve patient care quality. However, in order to improve the logistics processes, you must understand how the healthcare supply chain is currently performing. Measuring the performance of the supply chain is fundamental to identify and address deficiencies in the logistics activities, and it serves as a good input for managerial decision-making. The purpose of this article is to present existing research on performance measurement at the internal hospital supply chain (e.g. inventory management, distribution activities), and more specifically in the operating theatre since it is among the most critical resources for a hospital. At the operating theatre, the requested items should be available at the right time at the right place, in the right condition, at the lowest cost possible. Furthermore, we will also discuss literature on multi-criteria decision-making techniques. It enables researchers to build a performance measurement framework and to prioritize between multiple performance indicators since a diverse group of stakeholders with conflicting interests is involved in the internal operating room supply chain.",Omega (United Kingdom),2019-01-01,10.1016/j.omega.2018.01.007,0.740788170275711
Six Sigma and Lean in healthcare logistics centre design and operation: A case at North Mississippi Health Services,"This paper presents a case study of applying the principles and procedures of Six Sigma and Lean Thinking in designing and operating a healthcare logistics centre. The customer needs were identified from the viewpoint of patients and four critical-to-quality parameters were defined as the fill rate, accuracy rate, efficiency and expiration/ spoilage rates. Based on the identified core and value-adding steps, the centre layout was designed and 11 initiatives were implemented to improve the critical-to-quality parameters. The project resulted in better storage management, better use of space, an improved and cleaner workspace, more timely and efficient delivery of the right items with the right amount to the right patients and tracking and reducing waste. The logistics centre is currently running in a lean way, in the sense of the same amount of staff, more items to patients, and an $800,000 annual saving. © 2008, Inderscience Publishers.",International Journal of Six Sigma and Competitive Advantage,2008-01-01,10.1504/IJSSCA.2008.021840,0.7305980044659803
Optimized Workflow for the Healthcare Logistic: Case of the Pediatric Emergency Department,"The Emergency Department (ED) in a hospital, as its name implies, is a facility to be utilized by those who require emergency medical care. This paper introduces the longitudinal organization of the patient handling"" in the Pediatric Emergency called the ""Pediatric Emergency Path"". This work discusses the usability of the workflow approach in order to design the patient path in the Pediatric Emergency Department (PED) in order to thwart the care complexity scheme. The goal is to optimize these paths to improve the quality of the patient handling while mastering the wait time. The development of this model was based on accurate visits made in the PED of the Regional University Hospital Center (CHRU) of Lille (France). This modeling, which has to represent most faithfully possible the reality of the PED of CHRU of Lille, is necessary. It must be enough retailed to produce an analysis allowing to identify the dysfunctions of the PED and also to propose and to estimate prevention indicators of tensions. Our survey is integrated into the French National Research Agency project, titled: ""Hospital: optimization, simulation and avoidance of strain"" (ANR HOST). © Springer International Publishing Switzerland 2013.",Advances in Intelligent Systems and Computing,2013-01-01,10.1007/978-3-319-00578-2_11,0.7226688095920039
Investigating the Impact of Drone Transport on the Stability of Monoclonal Antibodies for Inter-Hospital Transportation,"In the field of healthcare logistics, the reliance on conventional transport methods such as cars for the delivery of monoclonal antibodies (mAbs) is susceptible to challenges posed by traffic and infrastructure, leading to increased and unpredictable transport times. Recognizing the potential role of drones in mitigating these challenges, we aimed to investigate the impact of medical drone transport on the stability of mAbs. Compromised stability could lead to aggregation and immunogenicity, thereby jeopardizing the efficacy and safety of mAbs. We studied the transportation of vials as well as ready-to-administer infusion bags with blinatumomab, tocilizumab, and daratumumab. The methodology involved the measurement of both temperature and mechanical shock during drone transport. Moreover, the analytical techniques High Performance Size-Exclusion Chromatography (HP-SEC), Dynamic Light Scattering (DLS), Light Obscuration (LO), Micro-Flow Imaging (MFI), and Nanoparticle Tracking Analysis (NTA) were employed to comprehensively assess the presence of aggregates and particle formation. The key findings revealed no significant differences between car and drone transport, indicating that the stability of mAbs in both vials and infusion bags was adequately maintained during drone transport. This suggests that medical drones are a viable and reliable means for the inter-hospital transport of mAbs, paving the way for more efficient and predictable logistics in healthcare delivery.",Journal of Pharmaceutical Sciences,2024-07-01,10.1016/j.xphs.2024.04.002,0.7194424352705682
Improvement of the lean-maintenance by hospital logistics,"Lean maintenance is a new thinking looking for ways to reduce maintenance costs by focusing on adding value operations. Healthcare logistics aims also to minimize costs of several functions including maintenance. In that context, this paper intends to show the impact of lean and logistics on maintenance in hospitals. For that, the first part describes the interest of the Lean and logistics on maintenance and reviewed previous research related to Lean-Logistics in the hospital maintenance. The second part presents the principal steps of the methodology followed. The third illustrates the proposed methodology through a case study that allows studying the impact of grouping of hospital pharmacies and Lean on the effectiveness of the medical devices maintenance. We finish our paper with a conclusion and work prospective.","Colloquium in Information Science and Technology, CIST",2016-07-02,10.1109/CIST.2016.7805047,0.7154127625871789
Modeling healthcare logistics in a virtual world,"The 3D virtual world Second Life provides a free computing platform for to terraform virtual landscapes, build imaginative buildings or spaces, meet, socialize, and collaborate. Some universities and businesses have experimented with virtual classrooms and virtual stores. This article describes the beginnings of an experiment to use Second Life as a modeling platform for understanding pervasive computing in the domain of healthcare, specifically by building a ""hospital of the future,"" complete with virtual RFID for tracking and providing location-aware services, smart networked equipment, restocking robots and the beginnings of workflow automation for modeling many hospital business processes. The same technology could be used to optimize hospital supply chains, test technologies like RFID in a model before full scale deployment, educate and train personnel, and simulate applications in other domains like retail or battlefields. This virtual world platform gives us insight into a future world where humans can communicate with the things as easily as they do with other humans. © 2008 IEEE.",IEEE Internet Computing,2008-09-26,10.1109/MIC.2008.106,0.7014201505082996
Healthcare Logistics and Digital Transformation,"Due to the complex and diverse structure of the healthcare industry, the healthcare industry's logistics practices have lagged far behind sectors such as retail and manufacturing. Therefore, in today's increasingly competitive and risky environment, it is critical for hospitals to improve their logistics management performance, increase the efficiency of health services, and reduce costs. This chapter synthesizes the contributions of healthcare logistics, the impact of medical logistics on healthcare providers, types of healthcare logistics. Addition, this chapter enables us to capture the research challenges associated with the healthcare logistics process, pharma logistics and show how digitalization initiatives can address them.","Accounting, Finance, Sustainability, Governance and Fraud",2023-01-01,10.1007/978-981-99-1818-8_13,0.6950111876261351
Hybridizing a matheuristic with ALNS for the optimal collection and delivery of medical specimens,"The past few years of the COVID-19 pandemic outbreak have shown that optimal management of medical specimens is a key aspect of healthcare logistics, both for addressing the delivery of perishable items such as vaccines, and for ensuring the timely analysis of swabs and samples. Accordingly, recent optimization literature described the problem of optimal collection and delivery of medical specimens, modeled as a multitrip vehicle routing problem with time windows and a completion time objective function. Aiming to achieve good-quality solutions in short computational times, this work describes a hybrid approach, combining a matheuristic construction phase with an adaptive large neighborhood search (ALNS). Our matheuristic relies on a clustering algorithm to yield subsets of the medical specimens that are optimally served by single vehicles of the fleet. The solutions of the matheuristic phase serve as starting points for the ALNS intensification phase. Extensive experimentation on both new and established benchmark problem instances shows that our hybrid method is able to match the optimality of the state of the art on small instances and outperforms the existing exact method by one order of magnitude on larger problems.",International Transactions in Operational Research,2023-01-01,10.1111/itor.13386,0.6881484307918831
Request and Donation Efficiencies in a Crisis: Data Envelopment Analyses of a Philippine Web-Based Emergency Response System,"On March 16, 2020, the island of Luzon was placed under lockdown to curtail the spread of COVID-19 in the Philippines. Soon thereafter, a web-based emergency response platform was developed to counteract effects from the outbreak. As a free service to strengthen a debilitated national hospital supply chain, the platform connected community organizations (as hospitals) with donors (individuals). From concepts and techniques that addressed information flows in healthcare logistics and supply chain management, several input-oriented data envelopment analyses were conducted to find the efficiencies for each of the 75 hospitals serviced by the website in terms of donors, individual items requested, total quantity of items requested, number of requested individual items that received a pledged, and average days a request pended to fulfillment. Results from the Data Envelopment Analysis (DEA) technique found that hospitals on the platform made requests that exceeded optimal quantities of inputs from donors. Further, hospital requests aggregated at the city-level stood unanswered an average of 14.39 days for inefficiently served cities. Findings from the analyses produced three recommendations to improve the web-based emergency response system service efficiency. The first recommendation was to reallocate donors over more hospitals, such that a few hospitals did not receive a majority of donations. A second recommendation was to reduce the number of individually requested items. The third recommendation was to reduce the quantities of items requested in order to bring service efficiency to optimality.",Contributions to Economics,2022-01-01,10.1007/978-3-030-89996-7_20,0.6800531445642686
Strategy deployment in healthcare services: A case study approach,"For a number of years, multiple studies have suggested that the effective management of logistics can generate significant gains for healthcare institutions. Yet, the studies also show that despite widespread knowledge of best practices, most institutions struggle to deploy practices that can enhance the logistics performance of their organization. In fact, healthcare institution managers are lacking guidelines enabling them to deploy a logistics strategy supporting the implementation of such practices. Using longitudinal case studies of two Canadian hospitals that made significant improvements in this regard, we will analyze the deployment strategy for exemplary materials management practices. In these studies, we will consider that two aspects are essential in deploying a logistics strategy in a service undertaking. First, there must be well-defined strategic intent. Based on this, the organization must implement an experimental series of logistics practices. This implementation process offers two benefits: 1) it should enable innovative practices to be tested, and 2) it should provide the organization with the time to absorb these innovations, particularly given the complex environment within a hospital.",Technological Forecasting and Social Change,2016-12-01,10.1016/j.techfore.2016.09.006,0.6767423821112803
A way for reducing drug supply chain cost for a hospital district: A case study,"Purpose: This work aims at providing insights to optimise healthcare logistic of the drug management, in order to deal with the healthcare expenditure cut. In this paper the effects of different drug supply chain configurations, on the resulting average stock, service level and Bullwhip effect, of the studied supply chain, is quantitatively assessed. Design/methodology/approach: A case study of an Italian district has been studied, taking into account three echelons: suppliers, central stock, and hospitals. A model of the various supply chain configurations has been created with the use of the simulation. Specifically, 24 supply chain configurations have been examined, stemming from the combination of several supply chain design parameters, namely: transshipment policies (Emergency Lateral Transshipment or Total Inventory Equalization); re-order and inventory management policies (Economic Order Quantity or Economic Order Interval); required service levels (90% or 95%); the number of available vans (one or two). For each configuration, hospital average stock, service level and a “Bullwhip effect” analysis are computed. To know which input variables are statistically significant, a DoE (Design of Experiments) analysis has been executed. Findings: The output of this paper provides useful insights and suggestions to optimize the healthcare logistic and drug supply chain. According to the developed DoE analysis, it can be stated that the introduction of transshipment policies provides important improvement in terms of service and stock levels. To reduce the Bullwhip effect, which results in a service level decreasing, and in a managing stock costs increasing, it is worth to adopt an EOQ re-order policy. Practical implications: This research gives practical recommendations to the studied system, in order to reduce costs and maintain a very satisfactory service level. Originality/value: This paper fulfils an identified need to study which combination of transshipment policies, re-order/inventory management policies and required service levels, can be the best one to reduce costs and maintain a very satisfactory service level, in the specific logistic system.",Journal of Industrial Engineering and Management,2016-01-01,10.3926/jiem.1262,0.6745680355357498
Transforming healthcare logistics and evaluating current use cases of UAVs (drones) as a method of transportation in healthcare to generate recommendations for the NHS to use drone technology at scale: a narrative review,"Drones have been pioneered and used in the military, however, only recently non-military drones have been introduced. The COVID-19 pandemic has brought into focus the potential value of drones in moving medical supplies. With the onset of social distancing policies and quarantine regulations, the efficiency of traditional logistics systems has been limited. Several companies have recently accelerated their development in this domain, conducting pilot projects at pace, paving the way for the future of the medical logistics supply chain. In this review, we examine both narrative and grey literature for in and out of hospital settings, in order to describe the current state of drone technology in healthcare around the world and some of the most cutting-edge examples of how drones can benefits patients, clinicians and the wider public. We investigate the economic viability and barriers to adopting drones at scale which include regulatory hurdles, public perception and safety of drone technologies, and propose how to overcome these challenges. Further work should look at quantifying the impact and outcomes of how such a service could impact the health outcomes of patients and clinical efficiency. This review aims to equip the National Health Service and more broadly other healthcare systems around the world with the tools to embrace and implement this novel and upcoming technology.",BMJ Innovations,2023-01-01,10.1136/bmjinnov-2021-000861,0.6713289237488513
Where to locate medical supplies in nursing units: An exploratory study,"Nursing unit inventory management is often cited as the top irritant that limits nurses’ ability to provide care at bedside. Our research focus is to determine whether the inventory location in the nursing units interferes with the performance of the replenishment system. The literature review suggests that a decentralization of nursing unit storage areas will require additional logistics resources to manage all of these storage points. Our case studies of four Canadian hospitals tend to demonstrate that decentralized locations do not necessarily lead to a decrease in productivity for logistics staff. Furthermore, although our research focuses on the inventory location in nursing units, it is difficult to isolate the impact of this aspect in the context of the entire replenishment system. For example, reorder frequency also has an impact on productivity. Further research could focus on these topics.",Supply Chain Forum,2018-01-01,10.1080/16258312.2018.1433438,0.6696353944687238
Bridging the Performance Gap Between Two-Way and One-Way CSI-Based 5 GHz WiFi Ranging,"Indoor Localization is gaining increased importance due to numerous location-based services in healthcare, logistics, and security, to name few, that are expected to be provided by next-generation wireless networks. Such services are characterized by stringent accuracy requirements, short response time, and lower cost which makes the localization problem more challenging and deserving of attention. A key element of the localization process is distance estimation (also known as ranging). In this paper, we design and analyze an efficient decimeter-level two-way ranging scheme for ubiquitous WiFi networks in the 5 GHz frequency band whose accuracy approaches ideal one-way ranging with no phase mismatches. We investigate the idea of channel frequency response (CFR) stitching across non-contiguous WiFi channels and how two-way CFR measurements help in achieving the CFR coherency necessary for accurate ranging. In addition, we quantify the decrease in ranging accuracy of two-way compared to one-way ranging due to SNR degradation, Line-of-Sight (LoS) component shrinkage, and doubling the multipath delay spread. Furthermore, We design a novel scheme to bridge the performance gap between two-way ranging and ideal one-way ranging which operates in three main steps: square-root of the two-way CFR, followed by phase unwrapping, and finally deep fade detection and phase errors correction. Our proposed scheme achieves significant performance gains over two-way ranging with only a slight performance gap from ideal one-way ranging. Moreover, our proposed scheme enjoys robustness as it preserves the ranging accuracy gains in various WiFi communication scenarios when operating at different SNR levels, different multipath channel models, and different CFR bandwidths, as well as operating under system impairments such as Sample Timing Offset (STO). The accuracy gains achieved by the proposed schemes are demonstrated using both simulations and an in-house WiFi testbed. Finally, we quantify the added complexity of our proposed scheme and show it to be insignificant compared to that of the MUSIC super-resolution ranging steps which confirms the practical viability of our proposed scheme.",IEEE Access,2023-01-01,10.1109/ACCESS.2023.3287850,0.6685228465789156
Occupational safety and health and smaller organisations: Research challenges and opportunities,"Despite the prevalence of small and medium-sized enterprises (SMEs) and micro organisations, comparatively little is known about how such organisations approach occupational safety and health (OSH). Research has tended to present a negative picture of OSH practices in smaller organisations. This paper discusses some of the challenges to researching OSH in SMEs and micro organisations and how these challenges can be overcome. It draws lessons and experiences from a qualitative study involving 149 structured interviews, nine short-term ethnographies and 21 semi-structured interviews with owners and employees in SMEs and micro organisations from a broad cross-section of industry sectors in the UK, including construction, retail, healthcare, logistics and agriculture. Data from the study suggest that the established boundaries between micro, small and medium-sized enterprises are less meaningful in an OSH context – OSH practices are influenced more by the culture of the organisation, the type of work being undertaken and the sector that an organisation operates in. OSH practices in SMEs and micro organisations tend to reflect more informal characteristics of such organisations, with more emphasis (than many larger organisations) on tacit knowledge, learning by doing and improvisation. Such practices should not necessarily be assumed to be unsafe or incompatible with formalised OSH.",Policy and Practice in Health and Safety,2016-01-01,10.1080/14773996.2016.1239357,0.6662102274377705
The Dial-a-Ride Problem with School Bell Time Adjustment,"In this paper, we study a paratransit application in which children are transported every day from their homes to their special schools or medical-social establishments. To optimize this transportation system, the establishments collaborate to propose a joint transportation plan. We propose a new algorithm to jointly build vehicle routes that visit several establishments and simultaneously set the establishments’ opening hours. This algorithm combines a large neighborhood search, the resolution of a route-based model, and the progressive shrinkage of the planning window. It is applied to a real case from the area of Lyon in France, including 34 schools and 575 heterogeneous users served by a heterogeneous fleet of reconfigurable vehicles. On average, we show that in addition to the 10% of saving that can be expected by sharing vehicle routes between schools, 7% of additional savings can be achieved by school bell adjustment. This cost saving also decreases average user ride times and the number of vehicles required, creating longer routes that are more attractive for driver services.",Transportation Science,2023-01-01,10.1287/trsc.2022.1160,0.6654463208736545
Artificial Intelligence for Healthcare Logistics: An Overview and Research Agenda,"In this chapter we present the existing literature on machine learning approaches and artificial intelligence for logistical problems arising for designing, providing and improving healthcare services. As a basis, we provide a framework for the classification of artificial intelligence. For the analysis, we distinguish between the care levels (primary, secondary and tertiary care), the planning levels (strategic, tactical and operational), as well as the user types (doctors, nurses, technicians, patients, etc.). Based on the results, we provide a research agenda with open topics and future challenges.",Artificial Intelligence and Data Mining in Healthcare,2021-01-01,10.1007/978-3-030-45240-7_1,0.6600109039798666
Early Determinants of Length of Hospital Stay: A Case Control Survival Analysis among COVID-19 Patients admitted in a Tertiary Healthcare Facility of East India,"Background: Length of hospital stay (LOS) for a disease is a vital estimate for healthcare logistics planning. The study aimed to illustrate the effect of factors elicited on arrival on LOS of the COVID-19 patients. Materials and Methods: It was a retrospective, record based, unmatched, case control study using hospital records of 334 COVID-19 patients admitted in an East Indian tertiary healthcare facility during May to October 2020. Discharge from the hospital (cases/survivors) was considered as an event while death (control/non-survivors) as right censoring in the case-control survival analysis using cox proportional hazard model. Results: Overall, we found the median LOS for the survivors to be 8 days [interquartile range (IQR): 7-10 days] while the same for the non-survivors was 6 days [IQR: 2-11 days]. In the multivariable cox-proportional hazard model; travel distance (>16 km) [adjusted hazard ratio (aHR): 0.69, 95% CI: (0.50-0.95)], mode of transport to the hospital (ambulance) [aHR: 0.62, 95% CI: (0.45-0.85)], breathlessness (yes) [aHR: 0.56, 95% CI: (0.40-0.77)], number of co-morbidities (1-2) [aHR: 0.66, 95% CI: (0.47-0.93)] (≥3) [aHR: 0.16, 95% CI: (0.04-0.65)], COPD/asthma (yes) [[aHR: 0.11, 95% CI: (0.01-0.79)], DBP (<60/≥90) [aHR: 0.55, 95% CI: (0.35-0.86)] and qSOFA score (≥2) [aHR: 0.33, 95% CI: (0.12-0.92)] were the significant attributes affecting LOS of the COVID-19 patients. Conclusion: Factors elicited on arrival were found to be significantly associated with LOS. A scoring system inculcating these factors may be developed to predict LOS of the COVID-19 patients.",Journal of Primary Care and Community Health,2021-01-01,10.1177/21501327211054281,0.6426821093542029
From network approach to ecosystem approach: A new framework for change management,"The actual change management models drawn from literature are focused only on the perspective of a single organisation. This perspective is not coherent with the new business scenario created by the pervasive use of digital technologies, which requires a new way to deal with organizational change. In particular, organizations have to manage change in a collaborative way, reflecting a progressive shift from a network to an ecosystem approach. Starting from this perspective, this paper aim to present a change on management framework in order to manage innovation within a complex digital ecosystem of actors. Coherently with this goal, the proposed framework will be articulated in a series of phases that have to be considered in the change process within an ecosystem. For each phase, the research will present the most common issues faced by organizations together with the corresponding change management actions. These actions are categorized in short-term and long-term. Moreover, the paper provides a set of indicators that can be used to monitor the effectiveness of the various change management actions. Finally, the validity of the change management framework will be proved thanks to its application in a project of digital innovation in healthcare domain. This analysis will provide a concrete example on how change management can be accomplished throughout a specific digital ecosystem.","Proceedings of the European Conference on Innovation and Entrepreneurship, ECIE",2021-01-01,10.34190/EIE.21.077,0.6415736656799358
A healthcare logistic network considering stochastic emission of contamination: Bi-objective model and solution algorithm,"This paper presents a novel healthcare waste location-routing problem by concentrating on a new perspective in healthcare logistics networks. In this problem, there are healthcare, treatment, and disposal centers. Locations of healthcare centers are known, however, it is required to select appropriate locations for treatment, recycling, and disposal centers. Healthcare wastes are divided into infectious and non-infectious wastes. Since a great volume of healthcare wastes are infectious, the emission of contamination can have obnoxious impacts on the environment. The proposed problem considers a stochastic essence for the emission of contamination which depends on the transferring times. In this respect, transferring times between healthcare and treatment centers have been considered as normal random variables. As transferring time increases, it is more likely for the contamination to spread. Having visited a treatment center, infectious wastes are sterilized and they will no longer be harmful to the environment. This research develops a bi-objective mixed-integer mathematical formulation to tackle this problem. The objectives of this model are minimization of total costs and emission of contamination, simultaneously. Complexity of the proposed problem led the researchers to another contribution. This study also develops a Multi-Objective Water-Flow like Algorithm (MOWFA), which is a meta-heuristic, to solve the problem. This algorithm uses a procedure based on the Analytical Hierarchy Process (AHP) to rank the non-dominated solutions in the archive set. By means of a developed mating operator, the MOWFA utilizes the best ranked solutions of the archive in order to obtain high quality offspring. Two neighborhood operators have been designed for the MOWFA as the local search methods. Extensive computational experiments have been conducted to evaluate the effectiveness of the MOWFA on several test problems compared with other meta-heuristics, namely the Multi-Objective Imperialist Competitive Algorithm (MOICA) and Multi-Objective Simulated Annealing (MOSA). These experiments also include a real healthcare waste logistic network in Iran. The computational experiments demonstrate that our proposed algorithm prevails these algorithms in terms of some well-known performance evaluation measures.",Transportation Research Part E: Logistics and Transportation Review,2020-10-01,10.1016/j.tre.2020.102060,0.6396015088763981
Handling uncertainty in the specification of autonomous multi-robot systems through mission adaptation,"Multi-robot systems (MRS) have gained interest as a versatile paradigm for complex task execution across various domains such as healthcare, logistics, and maintenance. Often, they are called to operate in variable and dynamic environments, which makes uncertainties arise and affect those systems. Uncertainties require the system to be able to adapt its behavior at runtime, in response to the changing and unpredictable conditions in its operating environment. Moreover, often the behavior of the robots cannot be completely anticipated at design time. Consequently, static mission planning is not always suitable: mission specifications need to take into account the uncertainties and, hence, be dynamic and re-configurable at runtime, when the required knowledge is available.This work focuses on the realization of adaptable multi-robot systems, which are capable of dealing with uncertainties by adapting their mission at runtime. We introduce the concept of ""adaptable task"" that is used in the global mission specification of the MRS to identify the mission tasks affected by uncertainties. Adaptation alternatives are modeled as sub-missions and associated with the adaptable task. At runtime, ad hoc written ""trigger functions"" executed by robots sense and evaluate the environment and select the most suitable adaptation alternative to be executed.We have experimented with the approach by simulating a use case to assess its validity. The system was able to adapt its behavior in response to the environmental conditions, thus allowing the fulfillment of the mission goals. We also discuss the applicability of the use case on a set of known single- and multi-robot systems.","Proceedings - 2024 IEEE/ACM 19th Symposium on Software Engineering for Adaptive and Self-Managing Systems, SEAMS 2024",2024-04-15,10.1145/3643915.3644099,0.6264783340404614
Logistics chain optimization and scheduling of hospital pharmacy drugs using genetic algorithms: Morocco case,"In recent years, the health sector has faced increasingly important challenges. Due to the economic crisis and competitions, hospitals are facing many issues affecting the supply chain, such as budget cuts or lack thereof as well as insufficient human resources. Although essential for an excellent service, logistics take up a considerable part of the budget as challenges need to be addressed such as delays in drugs delivery, transportation and storage conditions, routing and scheduling. As to governance, each hospital is assigned to a specific region, which cannot be defined due to political, demographic, or geographic issues. This paper focuses on multi-depot vehicle routing problem (MDVRP) in healthcare logistics to feed the hospital pharmacies. The idea is to apply MDVRP’s approach to the health sector, specifically hospital pharmacies. In this projection, hospitals are considered to present clients, and central pharmacies present deposits. This problem (the MDVRP) is known by this nature NP-hard. For that, the heuristic method was used as genetic algorithm to solve the problem. The paper is organized as follows, the first section discusses, compares, and proposes clustering methods for healthcare facilities with applying them on Moroccan hospitals case; the second section proposes a genetic algorithm to resolve the MDVRP with a simulation.",International Journal of Web-Based Learning and Teaching Technologies,2021-03-01,10.4018/IJWLTT.2021030104,0.6209872241522425
