Title,Abstract,Journal,Publishing Date,DOI
Future healthcare logistics: a survey of the public opinion on drones in Denmark,"Drones are expected to become widespread in society, making public readiness an important prerequisite for successfully unleashing them. This article investigates Danish citizens’ opinions on drones across varying fields of application and, specif-ically, six potential cases of healthcare logistics. Survey data representative of age, gender, and geography were collected and included information about respondents’ background, knowledge level of drones, and opinions on different drone use cases. Data were analysed with frequency tables and bivariate cross-tabulation. A thousand and four Danish adults completed the survey. Although other fields of application received higher levels of support, a majority of the respondents were positive towards using drones for healthcare logistics. Transportation of medicine and blood samples between hospitals were the most accepted healthcare use cases. Support varies across age with the highest support found in the eldest age group. Also, the more citizens report to know about drones, the more they tend to support using them. The results suggest that policymakers and firms must be attentive towards the public opinion on drones and seek insights into what citizens regard as noble purposes of using drones. Moreover, citizens must become more acquainted with drones, as this will likely boost public support.",Drone Systems and Applications,2023-01-01,10.1139/dsa-2022-0050
Transforming healthcare logistics and evaluating current use cases of UAVs (drones) as a method of transportation in healthcare to generate recommendations for the NHS to use drone technology at scale: a narrative review,"Drones have been pioneered and used in the military, however, only recently non-military drones have been introduced. The COVID-19 pandemic has brought into focus the potential value of drones in moving medical supplies. With the onset of social distancing policies and quarantine regulations, the efficiency of traditional logistics systems has been limited. Several companies have recently accelerated their development in this domain, conducting pilot projects at pace, paving the way for the future of the medical logistics supply chain. In this review, we examine both narrative and grey literature for in and out of hospital settings, in order to describe the current state of drone technology in healthcare around the world and some of the most cutting-edge examples of how drones can benefits patients, clinicians and the wider public. We investigate the economic viability and barriers to adopting drones at scale which include regulatory hurdles, public perception and safety of drone technologies, and propose how to overcome these challenges. Further work should look at quantifying the impact and outcomes of how such a service could impact the health outcomes of patients and clinical efficiency. This review aims to equip the National Health Service and more broadly other healthcare systems around the world with the tools to embrace and implement this novel and upcoming technology.",BMJ Innovations,2023-01-01,10.1136/bmjinnov-2021-000861
Reorganisation of the internal storage and distribution logistics in a hospital,"This study involved the analysis and improvement of the internal distribution and storage at Hospital da Senhora da Oliveira - Guimaraes, a 500-beds general hospital in the north of Portugal. The study evolved around an action-research strategy that comprised five sequential and interconnected phases. Initially, the internal supply chain of the hospital was analysed with a special focus on ward warehouses (WW) and data about the logistics processes of the WW were gathered. Following, a prototype WW to test a set of innovative solutions aimed at dealing with the difficulties identified in the previous phase was developed. The proposed improvements were analysed and then implemented in the WW of a health care department, which lead to a new data collection about the performance of the logistics processes. The implementation of the proposed solutions resulted in a reduction of the time spent collecting, debiting and storing materials of 55% to 66%. It was also possible to reduce the error rate in these processes by 93%. When the proposed solutions are expanded to the whole hospital, in a year, it will be possible to save 4,819 hours in WW logistics processes (that can be dedicated to provide care to patients) and to avoid 115,843 errors",Procedia Computer Science,2023-01-01,10.1016/j.procs.2023.01.421
TOWARD MORE REALISTIC SIMULATION MODELS USING OBJECT-CENTRIC PROCESS MINING,"Discrete-event simulation has been around for over half a century with applications in production, healthcare, logistics, transportation, etc. However, it is still challenging to create a reliable simulation model that mimics the actual process well and allows for “what-if” questions. Process mining allows for the automated discovery of stochastic process models using event data extracted from information systems. This technology is one of the key enablers for creating digital shadows and digital twins of operational processes. However, traditional process mining focuses on individual cases (e.g., an order, a patient, or a train) with events just referring to a single object (the case). Therefore, the discipline is moving to Object-Centric Process Mining (OCPM), where events can refer to any number of objects. Based on research on OCPM and the prototypes developed, now also commercial software vendors are embracing OCPM, as illustrated by Celonis Process Sphere, which allows for the discovery and analysis of object-centric process models. We believe that OCPM will help to create much more realistic simulation models. Whereas process discovery is backward-looking, with object-centric simulation models, we can also support forward-looking forms of process mining. Although such techniques still need to be developed, they provide a unique opportunity to create more realistic digital twins of organizations and their processes.","Proceedings - European Council for Modelling and Simulation, ECMS",2023-01-01,
Bridging the Performance Gap Between Two-Way and One-Way CSI-Based 5 GHz WiFi Ranging,"Indoor Localization is gaining increased importance due to numerous location-based services in healthcare, logistics, and security, to name few, that are expected to be provided by next-generation wireless networks. Such services are characterized by stringent accuracy requirements, short response time, and lower cost which makes the localization problem more challenging and deserving of attention. A key element of the localization process is distance estimation (also known as ranging). In this paper, we design and analyze an efficient decimeter-level two-way ranging scheme for ubiquitous WiFi networks in the 5 GHz frequency band whose accuracy approaches ideal one-way ranging with no phase mismatches. We investigate the idea of channel frequency response (CFR) stitching across non-contiguous WiFi channels and how two-way CFR measurements help in achieving the CFR coherency necessary for accurate ranging. In addition, we quantify the decrease in ranging accuracy of two-way compared to one-way ranging due to SNR degradation, Line-of-Sight (LoS) component shrinkage, and doubling the multipath delay spread. Furthermore, We design a novel scheme to bridge the performance gap between two-way ranging and ideal one-way ranging which operates in three main steps: square-root of the two-way CFR, followed by phase unwrapping, and finally deep fade detection and phase errors correction. Our proposed scheme achieves significant performance gains over two-way ranging with only a slight performance gap from ideal one-way ranging. Moreover, our proposed scheme enjoys robustness as it preserves the ranging accuracy gains in various WiFi communication scenarios when operating at different SNR levels, different multipath channel models, and different CFR bandwidths, as well as operating under system impairments such as Sample Timing Offset (STO). The accuracy gains achieved by the proposed schemes are demonstrated using both simulations and an in-house WiFi testbed. Finally, we quantify the added complexity of our proposed scheme and show it to be insignificant compared to that of the MUSIC super-resolution ranging steps which confirms the practical viability of our proposed scheme.",IEEE Access,2023-01-01,10.1109/ACCESS.2023.3287850
Healthcare Logistics and Digital Transformation,"Due to the complex and diverse structure of the healthcare industry, the healthcare industry's logistics practices have lagged far behind sectors such as retail and manufacturing. Therefore, in today's increasingly competitive and risky environment, it is critical for hospitals to improve their logistics management performance, increase the efficiency of health services, and reduce costs. This chapter synthesizes the contributions of healthcare logistics, the impact of medical logistics on healthcare providers, types of healthcare logistics. Addition, this chapter enables us to capture the research challenges associated with the healthcare logistics process, pharma logistics and show how digitalization initiatives can address them.","Accounting, Finance, Sustainability, Governance and Fraud",2023-01-01,10.1007/978-981-99-1818-8_13
Robotics Systems and Healthcare Logistics,"Including waste management, warehousing, inventory management, equipment maintenance, sanitation, and transportation, healthcare logistics has focused on providing more innovative and value-added services in recent years. Therefore healthcare services should be examined and aligned with the objectives of the entire healthcare supply chain to meet the needs of both individuals and organizations. This will help to improve the supply chain performance so that reflects on the patient outcomes. Lack of efficient storage areas, increasing wages/salaries, and some activities that are conducted by healthcare employees manually are the priority areas that require solutions. According to studies in the field of health logistics, supply chain activities take more than the time spent on patient care. In addition, the logistics activities that have to be done manually by the health personnel leave a negative impression on the patients. Based on these, healthcare logistics should be improved in order to decrease the level of fatigue of healthcare personnel and create more time to interact with patients. Serving various tasks and purposes in many business sector, robots are preparing to become one of the most important technological innovations for healthcare industry. Nowadays, the robotics community is largely focused on developing the next generation of service and social robots. It is predicted that the use of robots in diagnostics, surgery, rehabilitation, patient care, disinfection and cleaning, medicine and food distribution, vital signs measurement, disease prevention, and disease management will increase performance in healthcare services. Among these, robots providing disinfection and logistics services are predicted to have the shortest-term impact.","Accounting, Finance, Sustainability, Governance and Fraud",2023-01-01,10.1007/978-981-99-1818-8_7
The Use of Unmanned Aerial Vehicles in Healthcare Logistic: Risks and Opportunities,"In this paper, the authors analyze the application of unmanned vehicle technologies in various industries, including healthcare. The risks and possibilities of using such technologies are analyzed. The authors propose to consider the application of such technology from the point of view of key medical concepts such as the delivery of goods (medicines), organs. Also, paper Describes the world practice of introducing drones in the healthcare sector in countries such as the USA, China, Korea, Canada. The authors formulate a motivational expansion model for internal and external drivers necessary to understand the purpose of using unmanned aerial vehicle technologies.",Lecture Notes on Data Engineering and Communications Technologies,2023-01-01,10.1007/978-3-031-24434-6_14
The Dial-a-Ride Problem with School Bell Time Adjustment,"In this paper, we study a paratransit application in which children are transported every day from their homes to their special schools or medical-social establishments. To optimize this transportation system, the establishments collaborate to propose a joint transportation plan. We propose a new algorithm to jointly build vehicle routes that visit several establishments and simultaneously set the establishments’ opening hours. This algorithm combines a large neighborhood search, the resolution of a route-based model, and the progressive shrinkage of the planning window. It is applied to a real case from the area of Lyon in France, including 34 schools and 575 heterogeneous users served by a heterogeneous fleet of reconfigurable vehicles. On average, we show that in addition to the 10% of saving that can be expected by sharing vehicle routes between schools, 7% of additional savings can be achieved by school bell adjustment. This cost saving also decreases average user ride times and the number of vehicles required, creating longer routes that are more attractive for driver services.",Transportation Science,2023-01-01,10.1287/trsc.2022.1160
Simheuristic and learnheuristic algorithms for the temporary-facility location and queuing problem during population treatment or testing events,"Epidemic outbreaks, such as the one generated by the coronavirus disease, have raised the need for more efficient healthcare logistics. One of the challenges that many governments have to face in such scenarios is the deployment of temporary medical facilities across a region with the purpose of providing medical services to their citizens. This work tackles this temporary-facility location and queuing problem with the goals of minimising costs, the expected completion time, population travel time, and waiting time. The completion time for a facility depends on the numbers assigned to those facilities as well as stochastic arrival times. This work proposes a learnheuristic algorithm to solve the facility location and population assignment problem. Firstly a machine learning algorithm is trained using data from a queuing model (simulation module). The learnheuristic then constructs solutions using the machine learning algorithm to rapidly evaluate decisions in terms of facility completion and population waiting times. The efficiency and quality of the algorithm is demonstrated by comparison with exact and simulation-only (simheuristic) methodologies. A series of experiments are performed which explore the trade-offs between solution cost, completion time, population travel time, and waiting time.",Journal of Simulation,2023-01-01,10.1080/17477778.2023.2166879
Factors impacting humanitarian operations in healthcare during life-threatening pandemics,"The aims of this paper are to ‘identify’, analyze’, and categorize’ the factors impacting humanitarian activities in healthcare during life-threatening pandemics like COVID-19 using Total Interpretive Structural Modelling (TISM). Nine humanitarian operation factors have been identified for healthcare during a life-threatening pandemic like COVID-19. The study states that the key factors are resource shortages, external factors, and a shortage of medical and non-medical specialists. The study focused primarily on humanitarian operations characteristics for the healthcare sector. The present study will assist key stakeholders and academics in gaining a better knowledge of the factors that impact humanitarian healthcare operations during life-threatening pandemics like COVID-19. The study analyses the interrelationships among humanitarian operations factors using humanitarian operations during life-threatening pandemics. During life-threatening, which is a novel attempt in the subject of this sector.",International Journal of Healthcare Management,2023-01-01,10.1080/20479700.2022.2115249
A simulation model to analyse automation scenarios in decontamination centers,"Decontamination centres provide sterilisation services (sort, disinfect, package, and sterilise) for reusable surgical instruments that have a vital impact on patient safety. The market trend is to increase the level of automation in the decontamination process, to increase productivity, and reduce the risk of human error and musculoskeletal injuries. The goal of this research is to study the use of automated guided vehicles (AGVs) in sterilisation departments, to improve safety and efficiency. A generic simulation model is created based on data gathering of various decontamination centres and is validated for a specific centre to analyse various aspects of applying AGVs to automate the internal transfer. Centre’s potential to increase capacity through AGV application is analysed and a Design of Experiments is conducted to identify the most promising implementation scenarios. Results show reductions in treatment time and work in process, while,maintaining the accessibility of medical instruments, and ensuring worker safety.",Health Systems,2023-01-01,10.1080/20476965.2021.2004933
The impact of the first three months of the COVID-19 pandemic on the Australian trans community,"Background: Trans and gender diverse individuals (people who identify with a gender different to what was presumed for them at birth) are one of the most medically and socially marginalized groups in our community. The COVID-19 pandemic may compound preexisting depression and thoughts of self-harm or suicide. Aim: We aimed to explore the impact of the COVID-19 pandemic on the Australian trans community. Methods: An online cross-sectional survey was conducted between 1st May 2020 and 30th June 2020, amidst strict Australia-wide social restrictions. Australian trans people aged ≥16 years were eligible to participate. Survey questions explored the impact of the COVID-19 pandemic on living situation, employment, financial situation, and healthcare. Logistic regression to assess negative impacts due to COVID-19 on depression and thoughts of self-harm or suicide (measured by Patient Health Questionnaire-9 (PHQ-9) are presented as odds ratios (95% confidence interval)). Results: Of 1019 participants, 49.6% reported experiencing financial strain, 22% had reduced working hours, and 22.4% were unemployed (three times the national rate). Concerningly, 61.1% experienced clinically significant symptoms of depression (Patient Health Questionnaire-9 score ≥10), considerably higher than pre-COVID rates for the trans community and over twice the national rate. Moreover, 49% reported thoughts of self-harm or suicide (over three times the national rate) which was more likely if a person experienced cancelation or postponement of gender-affirming surgery (OR 1.56 (1.04, 2.35)), financial strain (OR 1.80 (1.36, 2.38)), or felt unsafe or afraid in their household (OR 1.96 (1.23, 3.08)). Discussion: Given rates of clinically significant depression and thoughts of self-harm or suicide are far higher in trans people than the general population, specific strategies to improve mental health in the trans community during the COVID-19 pandemic must be made a priority for policymakers, researchers, and health service providers to prevent suicide. Supplemental data for this article is available online at https://doi.org/10.1080/26895269.2021.1890659.",International Journal of Transgender Health,2023-01-01,10.1080/26895269.2021.1890659
The COVID-19 Pandemic Response and Its Impact on Post-Pandemic Health Emergency and Disaster Risk Management in the United States,"Among the impacts of the Coronavirus Disease 2019 (COVID-19) pandemic on the public health system in the United States has been a reevaluation of emergency response systems and procedures. This study uses publicly available literature from government, private sector, and academic sources to identify changes and lessons learned during the COVID-19 pandemic in specific aspects of emergency response, namely human resources, health service delivery, and logistics, determined based on the World Health Organization Health Emergency and Disaster Risk Management (WHO Health EDRM) Framework. Major themes of changes implemented include those intended to increase mobility and flexibility of workforce and resources, integration of various parts of the health system, and effective communication, and are anticipated to be incorporated into response systems going forward.",Sustainability (Switzerland),2022-12-01,10.3390/su142316301
How important is income in explaining individuals having forgone healthcare due to cost-sharing payments? Results from a mixed methods sequential explanatory study,"Background: Patients having forgone healthcare because of the costs involved has become more prevalent in recent years. Certain patient characteristics, such as income, are known to be associated with a stronger demand-response to cost-sharing. In this study, we first assess the relative importance of patient characteristics with regard to having forgone healthcare due to cost-sharing payments, and then employ qualitative methods in order to understand these findings better. Methods: Survey data was collected from a Dutch panel of regular users of healthcare. Logistic regression models and dominance analyses were performed to assess the relative importance of patient characteristics, i.e., personal characteristics, health, educational level, sense of mastery and financial situation. Semi-structured interviews (n = 5) were conducted with those who had forgone healthcare. The verbatim transcribed interviews were thematically analyzed. Results: Of the 7,339 respondents who completed the questionnaire, 1,048 respondents (14.3%) had forgone healthcare because of the deductible requirement. The regression model indicated that having a higher income reduced the odds of having forgone recommended healthcare due to the deductible (odds ratios of higher income categories relative to the lowest income category (reference): 0.29–0.49). However, dominance analyses revealed that financial leeway was more important than income: financial leeway contributed the most (34.8%) to the model’s overall McFadden’s pseudo-R2 (i.e., 0.123), followed by income (25.6%). Similar results were observed in stratified models and in population weighted models. Qualitative analyses distinguished four main themes that affected the patient’s decision whether to use healthcare: financial barriers, structural barriers related to the complex design of cost-sharing programs, individual considerations of the patient, and the perceived lack of control regarding treatment choices within a given treatment trajectory. Furthermore, “having forgone healthcare” seemed to have a negative connotation. Conclusion: Our findings show that financial leeway is more important than income with respect to having forgone recommended healthcare due to cost-sharing payments, and that other factors such as the perceived necessity of healthcare also matter. Our findings imply that solely adapting cost-sharing programs to income levels will only get one so far. Our study underlines the need for a broader perspective in the design of cost-sharing programs.",BMC Health Services Research,2022-12-01,10.1186/s12913-022-07527-z
An Integrated Approach for Improving Logistics Systems: A Case Study of Hospital Logistics,"In order to provide an integrated approach to improve healthcare logistics. This paper integrated the analysis of logistics decisions made at the three hierarchical levels with the problem analysis and improvement suggestions. Following a thorough analysis of the problematic logistics decisions, alternative decisions were suggested to improve the current logistics system. The proposed forecasting technique is expected to reduce the average error in forecasting as a percent of average demand from 30.3% to 22.5%. The proposed methodology provides a new structured problem-analysis and problem-solving processes for healthcare logistics and it is expected to be a valuable management tool to improve the quality of patient care.",TEM Journal,2022-11-01,10.18421/TEM114-33
Unmanned Aerial Vehicle Adaptation to Facilitate Healthcare Supply Chains in Low-Income Countries,"Low-income countries are persistently suffering from last-mile logistics issues in healthcare supply chains. Therefore, it is high time to explore technological applications to overcome such inadequacies. The faster speed, low maintenance cost, and absence of road dependency in unmanned aerial vehicles (UAV) have popularized them as an alternative to road delivery. Hence, it is suggested as a solution to overcome the persisting distribution inefficiencies in healthcare logistics of low-income countries. According to the case study analysis conducted on the Sri Lankan vaccine cold chain, incorporating UAVs increases truck-space utilization and reduces the time consumed, cost incurred, and carbon dioxide emission in a delivery round. Moreover, the most suitable way to cover the initial setup cost of an unmanned aerial system (UAS) is by receiving aid from international donors. The capital cost also can be covered by government investments or via service outsourcing only if the number of flights per year is increased. Moreover, a homogenous (i.e., only UAV) solution was revealed to be more beneficial than a heterogeneous (i.e., truck and UAV) solution. However, due to the lack of technology literacy and willingness to change in low-income countries, it is recommended to initially execute a heterogeneous solution and expand to a homogeneous plan in the future years. However, it was evident that for a mixed-fleet solution to be advantageous, drone characteristics play a vital role. Hence, a UAV with specifications ideal for the use case must be utilized to garner the maximum benefits. Nevertheless, it was apparent that with the right implementation plan, UAVs possess the potential to overcome the shortcomings in the healthcare logistics of low-income countries.",Drones,2022-11-01,10.3390/drones6110321
The impact of counterfeit risk management on healthcare supply chain performance: an empirical analysis,"Purpose: This study develops and tests a model exploring the relationship between supply chain (SC) counterfeit risk management and performance in the healthcare supply chain (HCSC). Design/methodology/approach: In the proposed theoretical model, HCSC counterfeit risk management is characterized by HCSC counterfeit risk orientation (HCRO), HCSC counterfeit risk mitigation (HCRM) and HCSC risk management integration (HRMI), while performance is represented by healthcare logistics performance (HLP) and healthcare organization overall performance (HOP). Partial least squares structural equation modeling (PLS-SEM) and survey data from 55 HCSC managers are used to test the research hypotheses. Findings: HCRO has a significant positive effect on HCRM, while HCRM has a positive impact on HRMI. With respect to HLP, HCRM has a nonsignificant effect, while HRMI has a significant impact, thus confirming the important mediating role of HRMI. Finally, HLP has a significant positive effect on the overall performance of healthcare organizations. Research limitations/implications: All study participants were from the United States, limiting the generalizability of the study findings to different countries or regions. The sample size employed in the study did not allow the authors to distinguish among the different types of healthcare organizations. Originality/value: This study delineates between a healthcare organization's philosophy toward counterfeiting risks vs actions taken to eliminate or reduce the impact of counterfeiting on the HCSC. By offering firm-level guidance for managers, this study informs healthcare organizations about addressing the challenge of counterfeiting in the HCSC.",International Journal of Productivity and Performance Management,2022-08-16,10.1108/IJPPM-08-2020-0426
Stochastic medical tourism problem with variable residence time considering gravity function,"Medical tourism is a recent term in healthcare logistics referring to travel of patients to receive health services and spending leisure time in a destination country. This transferring of patients leads to access high-quality health services which are cheaper than the original country of patients. During this travel, passengers who are the patients from another country, have this opportunity for complimentary entertainment packages (e.g., pleasure tours) in the aftercare period. As far as we know, the term of medical tourism is rarely studied in healthcare logistics and such services are highly important for developing countries. Such facts motivate us to develop a practical optimization model for the Medical Tour Centers (MTCs) for allocation of patients to hospitals in proper time and creation of memorable aftercare time for them. In this regard, the main aim of the proposed model is to maximize the total profit of MTCs through optimal allocation of patients to hospitals while considering an aftercare tour for the passengers. To make the proposed model more realistic, the optimal residence time in attractive places is simulated by a time-dependent gravity function. To address the uncertainty of medical tourism problem, a scenario-based two-stage stochastic optimization approach is extended to encounter different sources of uncertainty existing in surgical success, medical time, restoration restrictions, and the attraction of tourist places. Another novelty of this work is to propose an innovative hybrid meta-heuristic for large-scale instances, which is a combination of Progressive Hedging Algorithm (PHA) and Genetic Algorithm (GA). The model is analyzed by different test problems for small, medium, and large-scale instances where the hybrid meta-heuristic algorithm could solve them with an average gap of 3.4% in comparison with the commercial solver. The results revealed the importance of tourist opinion and public preferences in medical and pleasure tours, respectively, to improve the economic growth in this sector in developing countries.",RAIRO - Operations Research,2022-05-01,10.1051/ro/2022082
Optimal Multikey Homomorphic Encryption with Steganography Approach for Multimedia Security in Internet of Everything Environment,"Recent developments of semiconductor and communication technologies have resulted in the interconnection of numerous devices in offering seamless communication and services, which is termed as Internet of Everything (IoE). It is a subset of Internet of Things (IoT) which finds helpful in several applications namely smart city, smart home, precise agriculture, healthcare, logistics, etc. Despite the benefits of IoE, it is limited to processing and storage abilities, resulting in the degrada-tion of device safety, privacy, and efficiency. Security and privacy become major concerns in the transmission of multimedia data over the IoE network. Encryption and image steganography is considered effective solutions to accomplish secure data transmission in the IoE environment. For resolving the limitations of the existing works, this article proposes an optimal multikey homomorphic encryption with steganography approach for multimedia security (OMKHES‐MS) technique in the IoE environment. Primarily, singular value decomposition (SVD) model is applied for the separation of cover images into RGB elements. Besides, optimum pixel selection process is carried out using coyote optimization algorithm (COA). At the same time, the encryption of secret images is performed using poor and rich optimization (PRO) with multikey homomorphic encryption (MKHE) technique. Finally, the cipher image is embedded into the chosen pixel values of the cover image to generate stego image. For assessing the better outcomes of the OMKHES‐MS model, a wide range of experiments were carried out. The extensive comparative analysis reported the su-premacy of the proposed model over the rennet approaches interms of different measures.",Applied Sciences (Switzerland),2022-04-01,10.3390/app12084026
Sustainable and Robust Home Healthcare Logistics: A Response to the COVID-19 Pandemic,"Today, research on healthcare logistics is an important challenge in developing and developed countries, especially when a pandemic such as COVID-19 occurs. The responses required during such a pandemic would benefit from an efficiently designed model for robust and sustainable healthcare logistics. In this study, we focus on home healthcare logistics and services for planning the routing and scheduling of caregivers to visit patients’ homes. Due to the need for social distancing during the COVID-19 pandemic, these services are highly applicable for reducing the growth of the epidemic. In addition to this challenge, home healthcare logistics and services must be redesigned to meet the standards of a triple bottom line approach based on sustainable development goals. A triple bottom line approach finds a balance between economic, environmental, and social criteria for making a sustainable decision. Although, recently, the concept of green home healthcare has been studied based on the total cost and green emissions of home healthcare logistics and services, as far as we know, no research has been conducted on the formulation of a triple bottom line approach for home healthcare logistics and services. To achieve social justice for caregivers, the goal of balancing working time is to find a balance between unemployment time and overtime. Another contribution of this research is to develop a scenario-based robust optimization approach to address the uncertainty of home healthcare logistics and services and to assist with making robust decisions for home healthcare planning. Since our multi-objective optimization model for sustainable and robust home healthcare logistics and services is more complex than other studies, the last novel contribution of this research is to establish an efficient heuristic algorithm based on the Lagrangian relaxation theory. An initial solution is found by defining three heuristic algorithms. Our heuristic algorithms use a symmetric pattern for allocating patients to pharmacies and planning the routing of caregivers. Then, a combination of the epsilon constraint method and the Lagrangian relaxation theory is proposed to generate high-quality Pareto-based solutions in a reasonable time period. Finally, an extensive analysis is done to show that our multi-objective optimization model and proposed heuristic algorithm are efficient and practical, as well as some sensitivities are studied to provide some managerial insights for achieving sustainable and robust home healthcare services in practice.",Symmetry,2022-02-01,10.3390/sym14020193
Strategy Analysis of Wireless Internet of Things Technology in College English Teaching,"The results of the enormous use of physical network security know-how in a wide range of fields are already visible in traffic, healthcare, logistics, and other important areas. According to the data obtained from the questionnaire, 56.16% of the students believe that the current teaching progress is relatively fast, while the students themselves are poor in learning, and they hope that teachers will adopt differentiated teaching. Through the Internet of Things technology, teaching methods, teaching resources, high-quality teachers, and other related resources are integrated to form an open teaching environment. It focuses on bringing together in one place via object network of things information about special topics such as international teachers, current methods of living and popular ways of knowing foreign cultures, and lessons taught in particular institutions, which is conducive to cultivating students' autonomous learning ability and learning thinking. Through RFID technology, it is transmitted to data information, processing system, or physical environment to realize the interconnection and interoperability of the Internet of Things era. No matter where, when, or what objects can communicate smoothly, teaching can be worry-free.",Wireless Communications and Mobile Computing,2022-01-01,10.1155/2022/1516378
Artificial Intelligence for Smart Cities: Locational Planning and Dynamic Routing of Emergency Vehicles,"To enhance the efficiency and effectiveness of essential emergency services such as ambulances, fire brigades, and police, one of the most important problems to tackle is to minimize the response times of these emergency vehicles. As well as attaining optimal waiting sites and deployment strategies for the emergency vehicles, the optimal routing and traffic preemption of the vehicles are also crucial in minimizing response times and maximizing coverage. As locational planning and dynamic routing of the emergency vehicles relate to many different situations with varying emergency levels, they are a crucial part of the smart city concept. In this chapter, we present a perspective for the use of artificial intelligence and optimization in sustainable healthcare logistics within a smart city. We provide a survey of literature and identify many applications from around the globe. Related mathematical models and solution approaches are also presented, as necessary.","Accounting, Finance, Sustainability, Governance and Fraud",2022-01-01,10.1007/978-981-16-8997-0_3
A Locational Analysis Model of the COVID-19 Vaccine Distribution,"Even and equitable distribution of the COVID-19 vaccine becomes one of key strategies to reduce the number of positive cases and virus transmissions all over the world. This paper aims to introduce and demonstrate a mathematical model based on a maximal covering location problem (MCLP) to optimise the coverage of the COVID-19 vaccine distribution. A mathematical model is proposed and demonstrated using an illustrative case study of healthcare facilities and location coordinates of villages in Yogyakarta, Indonesia. A numerical computer experiment is conducted to obtain optimal results of the locational analysis. The results show that the proposed model provides an efficient coverage of vaccination by minimising the distances travelled by the target population. It also reveals an interesting insight that prioritising vaccination for areas with high COVID-19 cases results in a less efficient coverage. The novel location-allocation model for COVID-19 vaccination facilities proposed in this paper particularly applies in a developing country. The model could be used as an alternative way to increase the vaccination coverage and priority whilst minimising the potential risks of the virus transmissions and transport costs.",Operations and Supply Chain Management,2022-01-01,10.31387/oscm0490344
Request and Donation Efficiencies in a Crisis: Data Envelopment Analyses of a Philippine Web-Based Emergency Response System,"On March 16, 2020, the island of Luzon was placed under lockdown to curtail the spread of COVID-19 in the Philippines. Soon thereafter, a web-based emergency response platform was developed to counteract effects from the outbreak. As a free service to strengthen a debilitated national hospital supply chain, the platform connected community organizations (as hospitals) with donors (individuals). From concepts and techniques that addressed information flows in healthcare logistics and supply chain management, several input-oriented data envelopment analyses were conducted to find the efficiencies for each of the 75 hospitals serviced by the website in terms of donors, individual items requested, total quantity of items requested, number of requested individual items that received a pledged, and average days a request pended to fulfillment. Results from the Data Envelopment Analysis (DEA) technique found that hospitals on the platform made requests that exceeded optimal quantities of inputs from donors. Further, hospital requests aggregated at the city-level stood unanswered an average of 14.39 days for inefficiently served cities. Findings from the analyses produced three recommendations to improve the web-based emergency response system service efficiency. The first recommendation was to reallocate donors over more hospitals, such that a few hospitals did not receive a majority of donations. A second recommendation was to reduce the number of individually requested items. The third recommendation was to reduce the quantities of items requested in order to bring service efficiency to optimality.",Contributions to Economics,2022-01-01,10.1007/978-3-030-89996-7_20
Coordinating inventory sharing with retailer's return in the consignment contracts,"Hospitals purchase medical supplies from the dealer on consignment contracts. Dealer provides a return policy for unused inventory but charging a return fee. Two hospitals could share inventory which reduces the amount of return to the dealer. Motivated by this consignment contract policy for the medical supply chain, we develop a common dealer and two independent retailers framework that considers retailers' sharing action and return problem. We aim at developing a coordinating mechanism to manage the retailers' sharing and return action that benefits both the dealer and retailers. Dealer-dominated sharing and retailer-dominated sharing are compared from the perspective of sharing performance and expected profits. We also analyse the condition that the dealer is better off from retailers' sharing when the dealer has the power to encourage retailers' sharing, and the dealer's trading preference for a non-cooperative retailer or cooperative retailers when the dealer has no power to encourage retailers' sharing. Numerical experiments are conducted to examine the sensitivity of retailers' sharing decisions, retailers' and dealer's profit to the return price.",International Journal of Production Research,2022-01-01,10.1080/00207543.2020.1854485
Socio-economic and corporate factors and COVID-19 pandemic: a wake-up call,"The novel coronavirus 2019 (COVID-19) emerges from the Chinese city Wuhan and its spread to the rest of the world, primarily affected economies and their businesses, leading to a global depression. The explanatory and cross-sectional regression approach assesses the impact of COVID-19 cases on healthcare expenditures, logistics performance index, carbon damages, and corporate social responsibility in a panel of 77 countries. The results show that COVID-19 cases substantially increase healthcare expenditures and decrease corporate social responsibility. On the other hand, an increase in the coronavirus testing capacity brings positive change in reducing healthcare expenditures, increased logistics activities, and corporate social responsibility. The cost of carbon emissions increases when corporate activities begin to resume. The economic affluence supports logistics activities and improves healthcare infrastructure. It linked to international cooperation and their assistance to supply healthcare logistics traded equipment through mutual trade agreements. The greater need to enhance global trade and healthcare logistics supply helps minimize the sensitive coronavirus cases that are likely to provide a safe and healthy environment for living.",Environmental Science and Pollution Research,2021-11-01,10.1007/s11356-021-15275-6
