Title,Abstract,Journal,Publishing Date,DOI,Label
Transportation-Induced Carbon Emissions Jeopardize Healthcare Logistics Sustainability: Toward a Healthier Today and a Better Tomorrow,"Background: Logistics operations are considered essential for transporting commodities from one location to another, helping to promote global economic activity. On the other hand, its negative impact eclipses its positive impact, namely the rise in healthcare expenditures due to its ecological footprint. Globally, rising out-of-pocket health expenses result from logistic-induced carbon emissions, posing a danger to the long-term viability of healthcare. Methods: Based on this critical fact, this study examined the impact of logistics operations on healthcare costs by controlling for carbon emissions, fuel imports, and economic development across a large cross-section of 131 nations by using the Robust Least Squares Regression. Results: The findings demonstrate a U-shaped association between logistical operations and healthcare expenditures, i.e., if there is a 1% increase in logistics operations, healthcare expenditures decrease by −2.421% initially, while at later stages, healthcare costs would increase by 0.139%. On the other hand, increased fuel imports and economic growth due to logistics activities are increasing healthcare expenditures with an elasticity estimate of 0.087% and 0.147%, respectively. According to the forecasting predictions, logistics-induced carbon emissions, fuel imports, and economic expansion will increase healthcare expenses. Conclusions: A sustainable logistics operation is critical for strengthening healthcare infrastructure and meeting the global carbon neutrality goal.",Logistics,01/06/2022,10.3390/logistics6020027,0
An alert and detection system for cyber-attacks on iot devices,"The internet of things (IoT) is still in its early stages, but it has sparked interest in a wide range of industries, including healthcare, logistics tracking, smart cities, and transportation. However, it is also vulnerable to a variety of serious network infiltration concerns. This chapter contributes to attack detection and alert system for IoT networks. This system provides alert and detection of cyber-attacks at the router level by configuring Rpi as a wireless router for IoT network. For the detection method, the authors used an anomaly-based approach that learns the packets in the network using deep learning. IoTID20 dataset is used for training the deep learning model. This model detects four kinds of attack: DoS, MITM, port scan, and scan. When the attack is detected, the user is alerted via e-mail and SMS. Copyright",Handbook of Research on Network-Enabled IoT Applications for Smart City Services,26/09/2023,10.4018/979-8-3693-0744-1.ch011,0
Benchmarking of health technologies distribution models: An investigation of Lombardy’s local health authorities,"Purpose – The purpose of this paper is to develop a benchmarking framework for assessing the performance of the distribution models adopted by the local branches of National Health Services (NHSs) for delivering health technologies to patients at a local level, and to derive prescriptions for enhancing design and optimal management of the distribution models. Design/methodology/approach – The authors focussed the study on the distribution of absorbent devices for incontinence, adopting the analytic hierarchy process as a tool for developing the benchmarking framework. The authors applied the framework to the context of the Italian NHS with respect to the Lombard Local Health Authorities, assessing their performance in terms of operational efficiency and service quality. Findings – The developed framework constitutes a novel contribution, and it allows for generating prescriptions. Through its application to the context studied the authors found that a “one-size-fits-all” distribution model cannot be proposed, as regards both efficiency and effectiveness, since process standardization does not provide benefits or savings in all contexts. Rather, a total landed cost approach in the evaluation of the distribution practices must be adopted. Practical implications – This paper offers to managers and decision makers an innovative approach to the design of distribution models for health technologies. It provides policy makers with prescriptions to develop regulations fostering a comprehensive view of the factors for an optimal health technologies distribution at a local level. Originality/value – Given the dearth of scientific publications focussed on the distribution at the local level of health technologies, this paper significantly contributes to the existing body of knowledge and it offers an innovative framework which can be proficiently replicated in manifold contexts.",Benchmarking,03/05/2016,10.1108/BIJ-12-2013-0123,0
The Utilization of Six Sigma DMAIC Methodology in the Improvement of the Quality and Application of Methyl Methacrylate (MMA)-Based Elastomeric Membrane,"We can see numerous studies of the application of Six Sigma DMAIC methodology, especially in the manufacturing, healthcare, logistics, and other industries. The concept has been successful in those areas, and this study aims to show the same. This paper utilized the Six Sigma DMAIC methodology to improve the quality and application consumption of the Methyl Methacrylate (MMA)-Based Elastomeric Membrane used in major infrastructure and building construction. The utilization of the DMAIC methodology involves a case study on how to enhance and improve the consumption rate of the membrane, adhesion of the membrane to the substrate, thickness level of the membrane, and reduce the pinholes occurring to the system.",ACM International Conference Proceeding Series,15/06/2022,10.1145/3545897.3545918,0
Modelling the growing process of integrated healthcare supply networks,"This work contributes to the practice of healthcare system modelling, by presenting an urgent issue: the growing process of integrated healthcare supply networks in reducing public healthcare systems' annual expenses and improving performance. Various critical aspects affect the strategic design and development of healthcare logistic networks in practice. The conceptual discussion is empirically derived on the basis of the challenge created by the development of centralized healthcare supply networks supported by the implementation of new IT/IS investments and advanced logistic hubs for hospital material inventory management. The study moves towards the development of a newer ""Healthcare Supply Network Causal Loop Diagram,"" to analyse and predict the growth pattern of a healthcare logistic network in its complexity, and understand how well the supply network will fit with the benefit provided by new logistic economies of scale and the risk of failures under uncertainty.","Healthcare Administration: Concepts, Methodologies, Tools, and Applications",31/08/2014,10.4018/978-1-4666-6339-8.ch019,0
Real-time management of intra-hospital patient transport requests,"This paper addresses the management of patients’ transportation requests within a hospital, a very challenging problem where requests must be scheduled among the available porters so that patients arrive at their destination timely and the resources invested in patient transport are kept as low as possible. Transportation requests arrive during the day in an unpredictable manner, so they need to be scheduled in real-time. To ensure that the requests are scheduled in the best possible manner, one should also reconsider the decisions made on pending requests that have not yet been completed, a process that will be referred to as rescheduling. This paper proposes several policies to trigger and execute the rescheduling of pending requests and three approaches (a mathematical formulation, a constructive heuristic, and a local search heuristic) to solve each rescheduling problem. A simulation tool is proposed to assess the performance of the rescheduling strategies and the proposed scheduling methods to tackle instances inspired by a real mid-size hospital. Compared to a heuristic that mimics the way requests are currently handled in our partner hospital, the best combination of scheduling method and rescheduling strategy produces an average 5.7 minutes reduction in response time and a 13% reduction in the percentage of late requests. Furthermore, since the total distance walked by porters is substantially reduced, our experiments demonstrate that it is possible to reduce the number of porters – and therefore the operating costs – without reducing the current level of service.",Health Care Management Science,01/01/2024,10.1007/s10729-024-09667-6,0
Potential impact of RFID-based tracing systems on the integrity of pharmaceutical products,"Radio Frequency Identification (RFID) is going to play a crucial role as auto-identification technology in a wide range of applications such as healthcare, logistics, supply chain management, ticketing, et cetera. The use of electromagnetic waves to identify, trace, and track people or goods allows solving many problems related to auto-identification devices based on optical reading (i.e. bar code). Currently, high interest is concentrated on the use of Radio Frequency (RF) solutions in healthcare and pharmaceutical supply chain, in order to improve drugs flow transparency and patients' safety. Unfortunately, there is a possibility that drug interaction with electromagnetic fields (EMFs) generated by RF devices, such as RFID readers, deteriorate the potency of bioactive compounds. This chapter proposes an experimental multidisciplinary approach to investigate potential alterations induced by EMFs on drug molecular structure and performance. To show the versatility of this approach, some experimental results obtained on two biological pharmaceuticals (peptide hormone-based) are discussed. © 2013, IGI Global.","Advanced RFID Systems, Security, and Applications",01/12/2012,10.4018/978-1-4666-2080-3.ch011,0
Wireless sensor node design,"Remote monitoring system is a part of Internet of Thing (IoT) application whether in healthcare, logistic or even agriculture. The system consists of several nodes including wireless sensor node which is a compulsory end-device part in remote monitoring system for data acquisition and processing. This paper discusses the available design of wireless sensor node from different hardware and interfaces, comparison and reasoning of the available design for the hardware such as the microcontroller and transceiver. A propose design provided in this paper using an ARM based microcontroller for raw data processing and nRF24L01 transceiver in wireless communication.","2016 3rd International Conference on Electronic Design, ICED 2016",03/01/2017,10.1109/ICED.2016.7804662,0
Iterative matheuristic for the biomedical sample transportation problem,"This paper proposes an iterative matheuristic for solving the biomedical sample transportation problem (BSTP), which is a routing problem with multiple and interdependent visits in the context of healthcare services. In this problem, the biomedical samples are collected from individuals at a set of healthcare or specimen collection centers and must be transported to designated laboratories to be analyzed. The perishable nature of the specimens forces to visit the collection centers more than once a day to ensure that the time from the moment they are drawn to the arrival at the laboratory do not exceed the samples lifespan. Also, a visit to one center imposes (1) a limit on the duration of the route that transports its samples to the laboratory, and (2) a limit on the latest time at which the same center must be visited again, creating an interdependency between visits, routes and the decision concerning the centers’ opening times. This paper first proposes a mathematical formulation to model the BSTP. Since this formulation is not able to solve medium or large sized instances efficiently, it also proposes an iterative matheuristic, which includes two main steps. The first step produces an approximated solution to the BSTP by a decomposition approach that splits the problem into a series of smaller subproblems that are solved by the proposed mathematical formulation. In the second step, two fix-&-optimize strategies are used with the mathematical formulation to perform a local search around the solutions produced by the decomposition method. The matheuristic has demonstrated its efficiency solving a rich set of real-life instances corresponding to the needs of several regions in the province of Quebec, Canada, in a fraction of the time required to solve the exact mathematical formulation.",Computers and Industrial Engineering,01/06/2024,10.1016/j.cie.2024.110196,0
How to use lean manufacturing for improving a Healthcare logistics performance,"Most companies in the world are focused on their global performance for being competitive on the market. Lean manufacturing is one of the main methodologies used by them for increasing their supply chain and logistics performance. Indeed, Logistics performance improvement implies the definition of KPIs (Key Performance Indicators) for measuring at each transformation level, the evolution of the logistics system. Thus, Industry 4.0 and logistics 4.0 concepts are defined for implementing new technologies, tools and organizations in companies in order to define their future. A new framework, based on lean manufacturing and DMAIC methodologies, with sustainability as its kernel has been developed in Icam, A Higher education school, for SMEs. In addition, European population is growing older day by day and they are regularly visiting hospitals. In this context, the treatment of patients in good conditions (quality, cost and lead time) is necessary as much as the hospital global performance. In this frame, a project is ongoing between FEI, a Brazilian University and Icam for defining and implementing Healthcare Logistics 4.0 (including lean manufacturing). This paper presents concepts, methods and tools of healthcare logistics 4.0 for improving a hospital performance. Examples on medicines tracking, medicine and food dispatching will be given as result and detailed for illustrating concepts presented.",Procedia Manufacturing,01/01/2020,10.1016/j.promfg.2020.10.231,1
The Wings of Wellness: Autonomous Medical Delivery Drones Enhancing Patient Care and Accessibility,"This paper represents the advent of drones, that has rushed in a new era in healthcare logistics by providing a swift and efficient means of medical supply delivery. Access to timely medical supplies is often hampered by traffic congestion, geographical barriers, and unpredictable emergencies. Drones that transport pharmaceuticals have come to be considered as an ideal solution to these issues of concern. By leveraging cutting-edge technology, these autonomous flying machines are capable of transporting medical essentials, such as medications, vaccines, blood samples, and even life-saving equipment, to remote and underserved areas with unparalleled speed and precision. The advantages of using drones, such as reduced transportation time, cost-effectiveness, and minimized human contact during the pandemic, which has been crucial in curbing disease transmission. The future of healthcare delivery is poised to be significantly transformed by medical delivery drones. These innovative aerial vehicles have the potential to bridge healthcare disparities, enhance emergency response, and save countless lives. As technology advances and regulations evolve, the integration of medical delivery drones into healthcare ecosystems will continue to evolve, offering hope for improved healthcare access and outcomes across the globe","Proceedings of 9th International Conference on Science, Technology, Engineering and Mathematics: The Role of Emerging Technologies in Digital Transformation, ICONSTEM 2024",01/01/2024,10.1109/ICONSTEM60960.2024.10568822,0
A Decision Support Tool for the Location Routing Problem During the COVID-19 Outbreak in Colombia,"During the outbreak of coronavirus disease 2019 (COVID-19) in Bogotá, Colombia, some strategies for dealing with the increasing number of infected people and the level of occupation of intensive care units include the use of Personal Protective Equipment (PPE). PPE is a crucial component for patient care and a priority for protecting healthcare workers. For attending this necessity, the location of distribution centers within the city and the corresponding routes to supply the intensive care units (ICU) with PPE have an important role. Formally, this problem is defined as the Location Routing Problem (LRP). The LRP is an NP-Hard problem that combines the Facility Location Problem (FLP) and the Vehicle Routing Problem with Multiple Depots (MDVRP). This work presents a decision support tool based on a simheuristic method that hybridize an Iterated Local Search (ILS) algorithm with Monte Carlo simulation to deal with the LRP with uncertain demands. Realistic data from Bogotá (Colombia) was retrieved using Google Maps to characterize the geographical distribution of both potential facilities and ICUs, while demands were generated using the uniform probability distribution. Our preliminary results suggest the competitiveness of the algorithm in both the deterministic and the stochastic versions of the LRP.",Communications in Computer and Information Science,01/01/2021,10.1007/978-3-030-76310-7_3,0
Healthcare services: A systematic review of patient-centric logistics issues using simulation,"Healthcare has material-centric external and patient-centric internal logistics. Researchers widely use simulation approaches to model healthcare internal logistics due to the problem complexity. There is a need to map the existing knowledge base to systematically identify the emerging research themes of this domain. This work presents a systematic literature review to identify the patient-centric logistics issues in healthcare modelled using simulation. In all, 583 papers published from 2008 to 2017 in the Clarivate Analytics Web of Science database have been collected; 238 articles were shortlisted for the review. Using keyword co-occurrence and cluster analysis, thirteen research clusters are identified, with eight of them central to the research domain and deserving further attention. Among the simulation approaches, discrete event simulation is most prevalent followed by hybrid approaches (that use two or more simulation techniques or simulation combined with analytical methods), system dynamics, agent-based simulation, and Monte Carlo simulation.",Journal of the Operational Research Society,01/01/2021,10.1080/01605682.2020.1790306,0
Six Sigma and Lean in healthcare logistics centre design and operation: A case at North Mississippi Health Services,"This paper presents a case study of applying the principles and procedures of Six Sigma and Lean Thinking in designing and operating a healthcare logistics centre. The customer needs were identified from the viewpoint of patients and four critical-to-quality parameters were defined as the fill rate, accuracy rate, efficiency and expiration/ spoilage rates. Based on the identified core and value-adding steps, the centre layout was designed and 11 initiatives were implemented to improve the critical-to-quality parameters. The project resulted in better storage management, better use of space, an improved and cleaner workspace, more timely and efficient delivery of the right items with the right amount to the right patients and tracking and reducing waste. The logistics centre is currently running in a lean way, in the sense of the same amount of staff, more items to patients, and an $800,000 annual saving. © 2008, Inderscience Publishers.",International Journal of Six Sigma and Competitive Advantage,01/01/2008,10.1504/IJSSCA.2008.021840,1
Hybridizing a matheuristic with ALNS for the optimal collection and delivery of medical specimens,"The past few years of the COVID-19 pandemic outbreak have shown that optimal management of medical specimens is a key aspect of healthcare logistics, both for addressing the delivery of perishable items such as vaccines, and for ensuring the timely analysis of swabs and samples. Accordingly, recent optimization literature described the problem of optimal collection and delivery of medical specimens, modeled as a multitrip vehicle routing problem with time windows and a completion time objective function. Aiming to achieve good-quality solutions in short computational times, this work describes a hybrid approach, combining a matheuristic construction phase with an adaptive large neighborhood search (ALNS). Our matheuristic relies on a clustering algorithm to yield subsets of the medical specimens that are optimally served by single vehicles of the fleet. The solutions of the matheuristic phase serve as starting points for the ALNS intensification phase. Extensive experimentation on both new and established benchmark problem instances shows that our hybrid method is able to match the optimality of the state of the art on small instances and outperforms the existing exact method by one order of magnitude on larger problems.",International Transactions in Operational Research,01/01/2023,10.1111/itor.13386,0
On people and complexity in healthcare service supply,"Healthcare logistics is treated as a fundamentally emergent complex system primarily because a broad range of stakeholders are included. The patient is the primary ""customer"" of the service producers in the supply chain, including the doctors, nurses, medicine and insurance providers, and hospital administrators. Problematic issues regarding healthcare quality that need to be solved or improved are discussed, and suggestions for furthering and accelerating progress are offered. Careful application of information technology in designing appropriate information systems is advocated. Three specific illustrative cases of healthcare services that have been analyzed and assessed are summarized. The overall intent is to motivate creative processes for delivering more efficient and effective healthcare utilizing complex system behaviors and engineering principles, and an ethically-founded worldview.",International Journal of Design and Nature and Ecodynamics,01/01/2018,10.2495/DNE-V13-N3-238-249,1
A novel group ownership transfer protocol for RFID systems,"Radio Frequency Identification (RFID) is a wireless communication technology nowadays widely used in almost every aspect of our lives including healthcare, logistics and supply chain management, inventory tracking, race timing, access control, toll collection, and a lot more. In RFID systems, a tag usually stores private or sensitive information, and so it needs an access control mechanism. When a tag's owner is changed, the read permission of the tag needs to be transferred from the old owner to the new owner, and this is when ownership transfer schemes come into play. In fact, not only do RFID ownership transfer schemes do ownership transfer, but they have to make sure that the ownership transfer procedure is executed under proper security protection. Besides, in some particular environments, the ownership transfer would be far more efficiently done if the tags could be treated as a group instead of individual tags. Therefore, in this paper, we propose a novel group ownership transfer protocol that satisfies all important security requirements including mutual authentication, data and location privacy, forward/backward secrecy, ownership privacy, and group ownership integrity. In addition, due to the use of cloud computing, our new protocol provides ubiquitous authentication. Based on homomorphic encryption and quadratic residues, our novel RFID group ownership transfer protocol can have encrypted data efficiently processed, and the communication cost is very low. The results of our BAN logic correctness check, security analysis, and performance evaluation confirm that the new protocol is logically correct and is capable of providing high level security/privacy protection on the basis of high cost-effective performance.",Ad Hoc Networks,01/08/2019,10.1016/j.adhoc.2019.101873,0
